timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2022-08-01T00:00:00.000Z";"2022-08-01T23:59:59.999Z";"2022-08-01T01:01:00.000Z";"2022-08-01T19:55:00.000Z";"2781";0.4865485817;0.5035092942;0.4297574156;0.454013903;2221861.32;39191324.2;"2022-08-01T23:59:59.999Z"
"2022-07-31T00:00:00.000Z";"2022-07-31T23:59:59.999Z";"2022-07-31T19:55:00.000Z";"2022-07-31T00:00:00.000Z";"2781";0.4377080941;0.5259534386;0.4377080941;0.4869203622;3385281.69;42031870.94;"2022-07-31T23:59:59.999Z"
"2022-07-30T00:00:00.000Z";"2022-07-30T23:59:59.999Z";"2022-07-30T19:37:00.000Z";"2022-07-30T06:21:00.000Z";"2781";0.4057306088;0.4679042631;0.3909727288;0.4375938592;2935764.39;37773915.5;"2022-07-30T23:59:59.999Z"
"2022-07-29T00:00:00.000Z";"2022-07-29T23:59:59.999Z";"2022-07-29T23:52:00.000Z";"2022-07-29T18:07:00.000Z";"2781";0.3985778943;0.4107291745;0.372627595;0.4058137568;1864668.87;35030597.97;"2022-07-29T23:59:59.999Z"
"2022-07-28T00:00:00.000Z";"2022-07-28T23:59:59.999Z";"2022-07-28T17:31:00.000Z";"2022-07-28T00:56:00.000Z";"2781";0.3783686171;0.4054924248;0.3647704189;0.3986203698;1569839.58;34377761.8;"2022-07-28T23:59:59.999Z"
"2022-07-27T00:00:00.000Z";"2022-07-27T23:59:59.999Z";"2022-07-27T23:59:00.000Z";"2022-07-27T04:13:00.000Z";"2781";0.336887664;0.3784401137;0.3278958197;0.3784401137;1385955.59;32637379;"2022-07-27T23:59:59.999Z"
"2022-07-26T00:00:00.000Z";"2022-07-26T23:59:59.999Z";"2022-07-26T00:04:00.000Z";"2022-07-26T15:31:00.000Z";"2781";0.3502072378;0.3508833463;0.3126900135;0.336936845;1084833.04;29058059.94;"2022-07-26T23:59:59.999Z"
"2022-07-25T00:00:00.000Z";"2022-07-25T23:59:59.999Z";"2022-07-25T16:52:00.000Z";"2022-07-25T06:20:00.000Z";"2781";0.3738099232;0.377721801;0.3447916139;0.3501179256;1597310.14;30194820.84;"2022-07-25T23:59:59.999Z"
"2022-07-24T00:00:00.000Z";"2022-07-24T23:59:59.999Z";"2022-07-24T12:50:00.000Z";"2022-07-24T04:28:00.000Z";"2781";0.3735196786;0.3813924447;0.36412338;0.3738329496;951200.1;32225095.28;"2022-07-24T23:59:59.999Z"
"2022-07-23T00:00:00.000Z";"2022-07-23T23:59:59.999Z";"2022-07-23T08:31:00.000Z";"2022-07-23T15:31:00.000Z";"2781";0.3704508342;0.3964458507;0.3610876526;0.3735950071;1493849.47;32204584.19;"2022-07-23T23:59:59.999Z"
