timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2023-08-02T00:00:00.000Z";"2023-08-02T23:59:59.999Z";"2023-08-02T01:34:00.000Z";"2023-08-02T16:56:00.000Z";"2781";1873.4681445447;1877.5115199178;1822.3483015617;1839.0897065368;6448512421.97;221014149637.96;"2023-08-02T23:59:59.999Z"
"2023-08-01T00:00:00.000Z";"2023-08-01T23:59:59.999Z";"2023-08-01T23:58:00.000Z";"2023-08-01T15:31:00.000Z";"2781";1856.1901659675;1873.029963847;1817.9207855497;1871.7921704215;7634860635.76;224944195689.1;"2023-08-01T23:59:59.999Z"
"2023-07-31T00:00:00.000Z";"2023-07-31T23:59:59.999Z";"2023-07-31T00:50:00.000Z";"2023-07-31T21:03:00.000Z";"2781";1861.7552171849;1875.6294465554;1851.9153704333;1856.1623397384;4391613313.66;223070797299.17;"2023-07-31T23:59:59.999Z"
"2023-07-30T00:00:00.000Z";"2023-07-30T23:59:59.999Z";"2023-07-30T15:06:00.000Z";"2023-07-30T20:13:00.000Z";"2781";1880.8715209299;1884.1442089882;1851.7279943563;1861.6438552675;4003005547.05;223743340381.76;"2023-07-30T23:59:59.999Z"
"2023-07-29T00:00:00.000Z";"2023-07-29T23:59:59.999Z";"2023-07-29T20:27:00.000Z";"2023-07-29T11:06:00.000Z";"2781";1874.5604314537;1885.52927053;1870.333920147;1881.0688769377;2497302217.96;226077954074.33;"2023-07-29T23:59:59.999Z"
"2023-07-28T00:00:00.000Z";"2023-07-28T23:59:59.999Z";"2023-07-28T14:32:00.000Z";"2023-07-28T05:56:00.000Z";"2781";1860.7024919129;1881.457298528;1857.048891221;1874.7449256662;3800973336.48;225323363356.62;"2023-07-28T23:59:59.999Z"
"2023-07-27T00:00:00.000Z";"2023-07-27T23:59:59.999Z";"2023-07-27T09:56:00.000Z";"2023-07-27T23:08:00.000Z";"2781";1872.0863087262;1885.5916123837;1855.321567337;1860.3572210048;4291339248.12;223594122241.79;"2023-07-27T23:59:59.999Z"
"2023-07-26T00:00:00.000Z";"2023-07-26T23:59:59.999Z";"2023-07-26T20:41:00.000Z";"2023-07-26T09:54:00.000Z";"2781";1857.6965328035;1886.9741249298;1849.4368818344;1872.1599359835;5781548155.47;225044642696.59;"2023-07-26T23:59:59.999Z"
"2023-07-25T00:00:00.000Z";"2023-07-25T23:59:59.999Z";"2023-07-25T13:45:00.000Z";"2023-07-25T01:22:00.000Z";"2781";1850.0279874104;1867.3231871439;1845.9815839056;1857.741957571;4163381707.32;223311516835.97;"2023-07-25T23:59:59.999Z"
"2023-07-24T00:00:00.000Z";"2023-07-24T23:59:59.999Z";"2023-07-24T00:44:00.000Z";"2023-07-24T15:15:00.000Z";"2781";1888.809522871;1889.7619331029;1836.8524404344;1850.0020751716;6344373568.82;222359174267.9;"2023-07-24T23:59:59.999Z"
"2023-07-23T00:00:00.000Z";"2023-07-23T23:59:59.999Z";"2023-07-23T19:08:00.000Z";"2023-07-23T00:51:00.000Z";"2781";1866.0942085047;1904.4833299778;1859.5689063925;1889.1916718834;4480604099.77;227069518772.29;"2023-07-23T23:59:59.999Z"
"2023-07-22T00:00:00.000Z";"2023-07-22T23:59:59.999Z";"2023-07-22T01:02:00.000Z";"2023-07-22T23:32:00.000Z";"2781";1891.9551091027;1897.0880167419;1855.092772111;1864.9122953499;4101305643.35;224150871476.76;"2023-07-22T23:59:59.999Z"
"2023-07-21T00:00:00.000Z";"2023-07-21T23:59:59.999Z";"2023-07-21T18:04:00.000Z";"2023-07-21T11:36:00.000Z";"2781";1891.5812793732;1905.3861774581;1885.2962660717;1892.0801319193;4668158259.72;227406861182.89;"2023-07-21T23:59:59.999Z"
"2023-07-20T00:00:00.000Z";"2023-07-20T23:59:59.999Z";"2023-07-20T13:47:00.000Z";"2023-07-20T16:57:00.000Z";"2781";1889.073748995;1919.2643604398;1879.734398668;1890.9691089077;7366830683.51;227287014709.89;"2023-07-20T23:59:59.999Z"
"2023-07-19T00:00:00.000Z";"2023-07-19T23:59:59.999Z";"2023-07-19T13:47:00.000Z";"2023-07-19T21:21:00.000Z";"2781";1897.7972685971;1919.2643604398;1883.0670928023;1889.0079644853;6018487800.4;227057271106.86;"2023-07-19T23:59:59.999Z"
